DMG ALTERNATE FORME aegislashblade: pkmn: 'Blade' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceus: pkmn: 'undefined' 'Normal', dmg: 'undefined'
DMG ALTERNATE FORME arceusbug: pkmn: 'Bug' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceusdark: pkmn: 'Dark' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceusdragon: pkmn: 'Dragon' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceuselectric: pkmn: 'Electric' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceusfairy: pkmn: 'Fairy' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceusfighting: pkmn: 'Fighting' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceusfire: pkmn: 'Fire' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceusflying: pkmn: 'Flying' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceusghost: pkmn: 'Ghost' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceusgrass: pkmn: 'Grass' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceusground: pkmn: 'Ground' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceusice: pkmn: 'Ice' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceuspoison: pkmn: 'Poison' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceuspsychic: pkmn: 'Psychic' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceusrock: pkmn: 'Rock' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceussteel: pkmn: 'Steel' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME arceuswater: pkmn: 'Water' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME basculin: pkmn: 'undefined' 'Red-Striped', dmg: 'undefined'
DMG ALTERNATE FORME burmy: pkmn: 'undefined' 'Plant', dmg: 'undefined'
DMG ALTERNATE FORME cherrim: pkmn: 'undefined' 'Overcast', dmg: 'undefined'
DMG ALTERNATE FORME darmanitan: pkmn: 'undefined' 'Standard', dmg: 'undefined'
DMG ALTERNATE FORME deerling: pkmn: 'undefined' 'Spring', dmg: 'undefined'
DMG ALTERNATE FORME deoxys: pkmn: 'undefined' 'Normal', dmg: 'undefined'
DMG ALTERNATE FORME deoxysattack: pkmn: 'Attack' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME deoxysdefense: pkmn: 'Defense' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME deoxysspeed: pkmn: 'Speed' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME flabebe: pkmn: 'undefined' 'Red', dmg: 'undefined'
DMG ALTERNATE FORME floette: pkmn: 'undefined' 'Red', dmg: 'undefined'
DMG ALTERNATE FORME floetteeternal: pkmn: 'Eternal' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME florges: pkmn: 'undefined' 'Red', dmg: 'undefined'
DMG ALTERNATE FORME gastrodon: pkmn: 'undefined' 'West', dmg: 'undefined'
DMG ALTERNATE FORME giratina: pkmn: 'undefined' 'Altered', dmg: 'undefined'
DMG ALTERNATE FORME giratinaorigin: pkmn: 'Origin' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME gourgeist: pkmn: 'undefined' 'Average', dmg: 'undefined'
DMG ALTERNATE FORME gourgeistlarge: pkmn: 'Large' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME gourgeistsmall: pkmn: 'Small' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME gourgeistsuper: pkmn: 'Super' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME hoopa: pkmn: 'undefined' 'Confined', dmg: 'undefined'
DMG ALTERNATE FORME hoopaunbound: pkmn: 'Unbound' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME keldeo: pkmn: 'undefined' 'Ordinary', dmg: 'undefined'
DMG ALTERNATE FORME kyuremblack: pkmn: 'Black' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME kyuremwhite: pkmn: 'White' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME landorus: pkmn: 'undefined' 'Incarnate', dmg: 'undefined'
DMG ALTERNATE FORME landorustherian: pkmn: 'Therian' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME meloetta: pkmn: 'undefined' 'Aria', dmg: 'undefined'
DMG ALTERNATE FORME pumpkaboolarge: pkmn: 'Large' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME pumpkaboosmall: pkmn: 'Small' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME pumpkaboosuper: pkmn: 'Super' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME rotomfan: pkmn: 'Fan' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME rotomfrost: pkmn: 'Frost' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME rotomheat: pkmn: 'Heat' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME rotommow: pkmn: 'Mow' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME rotomwash: pkmn: 'Wash' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME sawsbuck: pkmn: 'undefined' 'Spring', dmg: 'undefined'
DMG ALTERNATE FORME shaymin: pkmn: 'undefined' 'Land', dmg: 'undefined'
DMG ALTERNATE FORME shayminsky: pkmn: 'Sky' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME shellos: pkmn: 'undefined' 'West', dmg: 'undefined'
DMG ALTERNATE FORME thundurus: pkmn: 'undefined' 'Incarnate', dmg: 'undefined'
DMG ALTERNATE FORME thundurustherian: pkmn: 'Therian' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME tornadus: pkmn: 'undefined' 'Incarnate', dmg: 'undefined'
DMG ALTERNATE FORME tornadustherian: pkmn: 'Therian' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME unown: pkmn: 'undefined' 'A', dmg: 'undefined'
DMG ALTERNATE FORME wormadam: pkmn: 'undefined' 'Plant', dmg: 'undefined'
DMG ALTERNATE FORME wormadamsandy: pkmn: 'Sandy' 'undefined', dmg: 'undefined'
DMG ALTERNATE FORME wormadamtrash: pkmn: 'Trash' 'undefined', dmg: 'undefined'
